duration,distance,average_hr,average_altitude,max_altitude,calories,ascent,descent
54.0,8.869410156,117,418.3103138,483.2000122,374,245.8000183,208.2000122
54.43333333,14.19421973,122,477.5547162,529.4000244,316,122.0002441,86.40023804
67.63333333,24.59965039,149,98.83924418,223.1999969,499,357.7999897,349.3999901
70.41666667,0.0,117,94.38214476,94.80000305,473,0.800003052,2.800003052
74.13333333,17.48390039,97,125.3543787,175.6000061,263,107.0,112.7999954
52.38333333,17.53968945,118,742.4507795,800.7999878,374,328.3999023,329.999939
74.73333333,18.76351953,121,262.2846688,368.3999939,380,270.2002869,320.6002808
68.65,10.3579502,100,699.8537351,758.7999878,179,237.8000488,237.8000488
77.2,30.64191016,128,84.54064255,105.8000031,625,121.4000015,120.4000015
54.98333333,16.64184961,128,448.9744195,783.2000122,363,376.1998901,840.7998962
60.78333333,0.0,106,418.5322554,-1.0,405,0.0,0.0
58.86666667,0.141389999,128,290.6402703,294.3999939,804,211.1999512,210.1999512
60.0,14.53333008,126,565.7703204,662.4000244,506,725.3995361,669.199585
69.6,28.01216016,121,85.4229694,102.4000015,528,78.59999847,81.0
54.46666667,12.31228027,130,692.6481351,845.7999878,395,461.7997742,206.1997986
60.01666667,21.31442969,131,167.334081,213.6000061,505,190.000061,190.4000549
61.63333333,20.56708984,141,847.0339993,929.2000122,542,642.9998779,642.1998901
67.21666667,0.751400024,128,799.3894886,800.5999756,337,2.799926758,2.199951172
76.78333333,24.91089063,113,10.55207919,75.80000305,411,94.00000572,101.8000054
57.51666667,34.41478125,144,616.9099162,642.5999756,700,490.2003174,505.800354
60.06666667,16.50215039,145,4.647693082,41.0,572,330.8000032,350.2000028
59.68333333,5.649959961,84,219.1926734,229.6000061,246,62.00003052,61.80001831
56.16666667,14.85630957,129,144.1999969,144.1999969,503,0.0,0.0
62.28333333,18.90181055,125,584.0953734,702.5999756,645,512.3997803,446.9997559
61.8,27.8565,135,412.7288217,479.7999878,629,261.2000732,260.4000549
72.43333333,31.35107031,143,459.5985738,683.5999756,669,427.1997681,475.1997681
70.85,18.35665039,115,825.507244,1115.400024,464,628.7997437,625.7997437
50.71666667,18.48500977,115,475.2224904,548.4000244,398,221.3998108,353.1997986
60.26666667,0.0,110,449.3562847,-1.0,432,0.0,0.0
